category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	p_adjust_over_represented	p_adjust_under_represented
GO:0002510	1	0.993265954242455	0	1	central B cell tolerance induction	BP	1	1
GO:0002513	1	0.943499532803299	0	7	tolerance induction to self antigen	BP	1	1
GO:0002514	1	0.977888473207989	0	3	B cell tolerance induction	BP	1	1
GO:0002517	1	0.890737814598697	0	15	T cell tolerance induction	BP	1	1
GO:0002518	1	0.995110787073985	0	1	lymphocyte chemotaxis across high endothelial venule	BP	1	1
GO:0002522	1	0.983285834812359	0	2	leukocyte migration involved in immune response	BP	1	1
GO:0002525	1	0.974324159758313	0	4	acute inflammatory response to non-antigenic stimulus	BP	1	1
GO:0002528	1	0.978789333018606	0	3	regulation of vascular permeability involved in acute inflammatory response	BP	1	1
GO:0002536	1	0.950185252201386	0	8	respiratory burst involved in inflammatory response	BP	1	1
GO:0002537	1	0.982833202368742	0	2	nitric oxide production involved in inflammatory response	BP	1	1
GO:0002538	1	0.971221066481157	0	4	arachidonic acid metabolite production involved in inflammatory response	BP	1	1
GO:0002539	1	0.992395023733099	0	1	prostaglandin production involved in inflammatory response	BP	1	1
GO:0002540	1	0.97866513498365	0	3	leukotriene production involved in inflammatory response	BP	1	1
GO:0002541	1	0.979340288496743	0	3	activation of plasma proteins involved in acute inflammatory response	BP	1	1
GO:0002542	1	0.986145665417089	0	2	Factor XII activation	BP	1	1
GO:0002543	1	0.991158472939776	0	1	activation of blood coagulation via clotting cascade	BP	1	1
GO:0002544	1	0.834971099093889	0	29	chronic inflammatory response	BP	1	1
GO:0002545	1	0.98758291565441	0	2	chronic inflammatory response to non-antigenic stimulus	BP	1	1
GO:0002551	1	0.902426743955983	0	14	mast cell chemotaxis	BP	1	1
GO:0002552	1	0.995635229806279	0	1	serotonin secretion by mast cell	BP	1	1
GO:0002553	1	0.933264562311262	0	11	histamine secretion by mast cell	BP	1	1
GO:0002554	1	0.97983332579148	0	3	serotonin secretion by platelet	BP	1	1
GO:0002560	1	0.993704184107994	0	1	basophil mediated immunity	BP	1	1
GO:0002561	1	0.993704184107994	0	1	basophil degranulation	BP	1	1
GO:0002562	1	0.586806518715455	0	74	somatic diversification of immune receptors via germline recombination within a single locus	BP	1	1
GO:0002566	1	0.89310543518568	0	14	somatic diversification of immune receptors via somatic mutation	BP	1	1
GO:0002568	1	0.959677440740759	0	5	somatic diversification of T cell receptor genes	BP	1	1
